checking_balance,loan_duration,credit_history,purpose,credit_balance,employment_duration,guarantor,assets,age,housing,existing_credits,employment_duration,num_dependents,foreign,loan_status
<0,33.0,critical/other existing credit,furniture/equipment,4281.0,1<=X<4,none,car,23.0,own,2.0,skilled,1.0,yes,bad
no checking,15.0,existing paid,new car,5324.0,>=7,none,no known property,35.0,for free,1.0,skilled,1.0,yes,good
no checking,27.0,existing paid,repairs,5190.0,>=7,none,life insurance,48.0,own,4.0,skilled,2.0,yes,good
<0,24.0,critical/other existing credit,business,1382.0,4<=X<7,none,real estate,26.0,own,2.0,skilled,1.0,yes,good
<0,24.0,existing paid,furniture/equipment,4020.0,1<=X<4,none,car,27.0,own,1.0,skilled,1.0,yes,good
<0,12.0,existing paid,radio/tv,1107.0,1<=X<4,none,real estate,20.0,rent,1.0,high qualif/self emp/mgmt,2.0,yes,good
no checking,12.0,critical/other existing credit,radio/tv,1934.0,>=7,none,no known property,26.0,own,2.0,skilled,1.0,yes,good
no checking,48.0,critical/other existing credit,education,6110.0,1<=X<4,none,no known property,31.0,for free,1.0,skilled,1.0,yes,good
<0,9.0,existing paid,radio/tv,1366.0,<1,none,life insurance,22.0,rent,1.0,skilled,1.0,yes,bad
<0,12.0,critical/other existing credit,used car,1526.0,>=7,none,no known property,66.0,for free,2.0,high qualif/self emp/mgmt,1.0,yes,good
<0,12.0,existing paid,new car,3651.0,1<=X<4,none,life insurance,31.0,own,1.0,skilled,2.0,yes,good
no checking,18.0,existing paid,new car,2662.0,4<=X<7,none,life insurance,32.0,own,1.0,skilled,1.0,no,good
0<=X<200,36.0,existing paid,radio/tv,2323.0,4<=X<7,none,car,24.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,27.0,existing paid,business,2528.0,<1,none,life insurance,32.0,own,1.0,skilled,2.0,yes,good
>=200,15.0,existing paid,education,1905.0,>=7,none,car,40.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
<0,36.0,delayed previously,education,6887.0,1<=X<4,none,life insurance,29.0,own,1.0,skilled,1.0,yes,bad
<0,20.0,critical/other existing credit,new car,2235.0,1<=X<4,guarantor,life insurance,33.0,rent,2.0,skilled,1.0,no,bad
0<=X<200,6.0,existing paid,radio/tv,484.0,4<=X<7,guarantor,real estate,28.0,own,1.0,unskilled resident,1.0,yes,good
no checking,6.0,existing paid,repairs,660.0,4<=X<7,none,real estate,23.0,rent,1.0,unskilled resident,1.0,yes,good
no checking,6.0,critical/other existing credit,radio/tv,1898.0,1<=X<4,none,real estate,34.0,own,2.0,unskilled resident,2.0,yes,good
no checking,24.0,critical/other existing credit,furniture/equipment,3777.0,1<=X<4,none,real estate,50.0,own,1.0,skilled,1.0,yes,good
0<=X<200,39.0,critical/other existing credit,radio/tv,4933.0,4<=X<7,guarantor,real estate,25.0,own,2.0,skilled,1.0,yes,bad
<0,9.0,existing paid,radio/tv,1364.0,4<=X<7,none,real estate,59.0,own,1.0,skilled,1.0,yes,good
<0,12.0,critical/other existing credit,new car,2171.0,1<=X<4,none,life insurance,38.0,own,2.0,unskilled resident,1.0,no,good
0<=X<200,18.0,existing paid,new car,5866.0,1<=X<4,none,car,30.0,own,2.0,skilled,1.0,yes,good
no checking,12.0,existing paid,radio/tv,1262.0,1<=X<4,none,car,25.0,own,1.0,skilled,1.0,yes,good
>=200,18.0,existing paid,furniture/equipment,3049.0,<1,none,life insurance,45.0,own,1.0,unskilled resident,1.0,yes,good
<0,10.0,existing paid,radio/tv,2315.0,>=7,none,real estate,52.0,own,1.0,unskilled resident,1.0,yes,good
no checking,24.0,existing paid,used car,3488.0,4<=X<7,none,car,23.0,own,1.0,skilled,1.0,yes,good
no checking,12.0,existing paid,new car,2133.0,>=7,none,no known property,52.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,20.0,existing paid,used car,6468.0,unemployed,none,real estate,60.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,9.0,critical/other existing credit,education,1501.0,>=7,none,car,34.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
no checking,15.0,existing paid,radio/tv,1213.0,>=7,none,life insurance,47.0,own,1.0,skilled,1.0,yes,good
<0,36.0,existing paid,new car,3249.0,4<=X<7,none,no known property,39.0,for free,1.0,high qualif/self emp/mgmt,2.0,yes,good
no checking,12.0,critical/other existing credit,education,3565.0,<1,none,life insurance,37.0,own,2.0,unskilled resident,2.0,yes,good
no checking,15.0,delayed previously,used car,3594.0,<1,none,life insurance,46.0,own,2.0,unskilled resident,1.0,yes,good
0<=X<200,18.0,existing paid,business,1913.0,<1,none,real estate,36.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,existing paid,new car,1249.0,<1,none,real estate,28.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,existing paid,used car,6313.0,>=7,none,car,41.0,own,1.0,high qualif/self emp/mgmt,2.0,yes,good
no checking,6.0,all paid,new car,783.0,1<=X<4,guarantor,real estate,26.0,own,1.0,unskilled resident,2.0,yes,good
0<=X<200,30.0,existing paid,radio/tv,1715.0,1<=X<4,none,car,26.0,own,1.0,skilled,1.0,yes,good
<0,12.0,critical/other existing credit,new car,2122.0,1<=X<4,none,real estate,39.0,rent,2.0,unskilled resident,2.0,no,good
0<=X<200,24.0,critical/other existing credit,business,1935.0,>=7,none,real estate,31.0,own,2.0,skilled,1.0,yes,bad
>=200,21.0,existing paid,new car,2923.0,1<=X<4,none,car,28.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,10.0,existing paid,retraining,894.0,4<=X<7,none,life insurance,40.0,own,1.0,skilled,1.0,yes,good
no checking,22.0,existing paid,new car,1283.0,4<=X<7,none,life insurance,25.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,9.0,existing paid,new car,1549.0,<1,none,real estate,35.0,own,1.0,unemp/unskilled non res,1.0,yes,good
no checking,18.0,delayed previously,business,2169.0,1<=X<4,none,car,28.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,6.0,existing paid,radio/tv,590.0,<1,none,real estate,26.0,own,1.0,unskilled resident,1.0,no,good
>=200,12.0,all paid,radio/tv,409.0,1<=X<4,none,real estate,42.0,rent,2.0,skilled,1.0,yes,good
no checking,21.0,existing paid,radio/tv,3160.0,>=7,none,life insurance,41.0,own,1.0,skilled,1.0,yes,good
<0,24.0,delayed previously,new car,1333.0,unemployed,none,real estate,43.0,for free,2.0,skilled,2.0,yes,bad
0<=X<200,12.0,existing paid,radio/tv,766.0,1<=X<4,none,real estate,66.0,own,1.0,unskilled resident,1.0,yes,bad
no checking,6.0,existing paid,furniture/equipment,2978.0,1<=X<4,none,car,32.0,own,1.0,skilled,1.0,yes,good
no checking,12.0,existing paid,used car,2445.0,<1,none,car,26.0,rent,1.0,skilled,1.0,yes,good
no checking,24.0,existing paid,new car,7393.0,1<=X<4,none,life insurance,43.0,own,1.0,unskilled resident,2.0,yes,good
no checking,6.0,delayed previously,radio/tv,932.0,1<=X<4,none,real estate,24.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,critical/other existing credit,furniture/equipment,5150.0,>=7,none,car,33.0,own,1.0,skilled,1.0,yes,good
no checking,18.0,existing paid,radio/tv,1505.0,1<=X<4,none,no known property,32.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
<0,18.0,existing paid,furniture/equipment,3650.0,<1,none,car,22.0,rent,1.0,skilled,1.0,yes,good
no checking,10.0,existing paid,education,727.0,>=7,none,no known property,46.0,for free,1.0,skilled,1.0,yes,good
no checking,24.0,critical/other existing credit,new car,1287.0,>=7,none,real estate,37.0,own,2.0,skilled,1.0,yes,good
no checking,18.0,existing paid,business,1950.0,4<=X<7,none,car,34.0,own,2.0,skilled,1.0,yes,good
<0,6.0,existing paid,new car,1374.0,unemployed,none,life insurance,75.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,12.0,existing paid,new car,836.0,<1,none,life insurance,23.0,own,1.0,unskilled resident,1.0,yes,bad
no checking,10.0,existing paid,radio/tv,1924.0,1<=X<4,none,life insurance,38.0,own,1.0,skilled,1.0,no,good
no checking,18.0,existing paid,radio/tv,1473.0,<1,none,real estate,39.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,existing paid,furniture/equipment,3062.0,>=7,none,no known property,32.0,rent,1.0,skilled,1.0,yes,good
no checking,12.0,existing paid,new car,1386.0,1<=X<4,none,life insurance,26.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,18.0,existing paid,furniture/equipment,1924.0,<1,none,real estate,27.0,rent,1.0,skilled,1.0,yes,bad
no checking,11.0,critical/other existing credit,new car,1393.0,<1,none,car,35.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,24.0,existing paid,radio/tv,3105.0,<1,none,car,25.0,own,2.0,skilled,1.0,yes,good
no checking,12.0,existing paid,radio/tv,776.0,1<=X<4,none,real estate,28.0,own,1.0,skilled,1.0,yes,good
0<=X<200,12.0,critical/other existing credit,new car,1995.0,<1,none,car,27.0,own,1.0,skilled,1.0,yes,good
<0,24.0,all paid,business,3161.0,1<=X<4,none,life insurance,31.0,rent,1.0,skilled,1.0,yes,bad
<0,24.0,existing paid,furniture/equipment,1747.0,<1,co applicant,life insurance,24.0,own,1.0,unskilled resident,1.0,no,good
no checking,4.0,critical/other existing credit,radio/tv,1503.0,4<=X<7,none,real estate,42.0,own,2.0,unskilled resident,2.0,yes,good
no checking,36.0,existing paid,radio/tv,3835.0,>=7,none,real estate,45.0,own,1.0,unskilled resident,1.0,yes,good
<0,18.0,all paid,furniture/equipment,1553.0,1<=X<4,none,car,44.0,own,1.0,skilled,1.0,yes,bad
>=200,12.0,existing paid,radio/tv,1297.0,1<=X<4,none,real estate,23.0,rent,1.0,skilled,1.0,yes,good
no checking,24.0,critical/other existing credit,radio/tv,2223.0,>=7,none,life insurance,52.0,own,2.0,skilled,1.0,yes,good
0<=X<200,48.0,existing paid,radio/tv,5951.0,1<=X<4,none,real estate,22.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,6.0,existing paid,new car,14555.0,unemployed,none,life insurance,23.0,own,1.0,unemp/unskilled non res,1.0,yes,bad
no checking,12.0,critical/other existing credit,radio/tv,522.0,>=7,none,life insurance,42.0,own,2.0,skilled,2.0,yes,good
no checking,36.0,no credits/all paid,repairs,2613.0,1<=X<4,none,car,27.0,own,2.0,skilled,1.0,yes,good
<0,21.0,existing paid,furniture/equipment,3599.0,4<=X<7,none,car,26.0,rent,1.0,unskilled resident,1.0,yes,good
0<=X<200,48.0,no credits/all paid,other,18424.0,1<=X<4,none,life insurance,32.0,own,1.0,high qualif/self emp/mgmt,1.0,no,bad
no checking,9.0,critical/other existing credit,furniture/equipment,2406.0,unemployed,none,car,31.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,24.0,critical/other existing credit,radio/tv,2872.0,>=7,none,real estate,36.0,own,1.0,skilled,2.0,yes,good
<0,36.0,existing paid,used car,5493.0,>=7,none,no known property,42.0,for free,1.0,skilled,2.0,yes,good
<0,12.0,existing paid,furniture/equipment,708.0,1<=X<4,guarantor,life insurance,38.0,own,1.0,unskilled resident,2.0,yes,good
>=200,6.0,critical/other existing credit,new car,1299.0,1<=X<4,none,real estate,74.0,own,3.0,unemp/unskilled non res,2.0,no,good
no checking,60.0,existing paid,new car,6527.0,1<=X<4,none,no known property,34.0,for free,1.0,skilled,2.0,yes,good
0<=X<200,12.0,existing paid,retraining,754.0,>=7,none,life insurance,38.0,own,2.0,skilled,1.0,yes,good
no checking,15.0,critical/other existing credit,furniture/equipment,2788.0,4<=X<7,co applicant,car,24.0,own,2.0,skilled,1.0,yes,good
no checking,48.0,all paid,business,3609.0,1<=X<4,none,real estate,27.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,existing paid,radio/tv,1552.0,4<=X<7,none,car,32.0,own,1.0,skilled,2.0,yes,good
<0,12.0,existing paid,new car,759.0,4<=X<7,none,real estate,26.0,own,1.0,skilled,1.0,yes,bad
<0,36.0,existing paid,furniture/equipment,3620.0,1<=X<4,guarantor,life insurance,37.0,own,1.0,skilled,2.0,yes,good
no checking,18.0,critical/other existing credit,radio/tv,629.0,>=7,none,life insurance,32.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,21.0,existing paid,furniture/equipment,3976.0,4<=X<7,none,car,35.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,critical/other existing credit,radio/tv,2424.0,>=7,none,life insurance,53.0,own,2.0,skilled,1.0,yes,good
<0,6.0,critical/other existing credit,new car,666.0,4<=X<7,none,real estate,39.0,own,2.0,unskilled resident,1.0,yes,good
0<=X<200,12.0,existing paid,radio/tv,625.0,<1,guarantor,real estate,26.0,own,1.0,unskilled resident,1.0,yes,good
0<=X<200,9.0,all paid,new car,1437.0,4<=X<7,none,no known property,29.0,own,1.0,skilled,1.0,yes,bad
<0,18.0,critical/other existing credit,radio/tv,1880.0,4<=X<7,none,life insurance,32.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,14.0,existing paid,business,1410.0,>=7,none,real estate,35.0,own,1.0,skilled,1.0,yes,good
<0,30.0,existing paid,furniture/equipment,3622.0,>=7,none,life insurance,57.0,rent,2.0,skilled,1.0,yes,good
0<=X<200,24.0,critical/other existing credit,other,11938.0,1<=X<4,co applicant,car,39.0,own,2.0,high qualif/self emp/mgmt,2.0,yes,bad
no checking,24.0,existing paid,used car,5433.0,unemployed,none,life insurance,26.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,24.0,existing paid,furniture/equipment,3069.0,>=7,none,no known property,30.0,for free,1.0,skilled,1.0,yes,good
no checking,33.0,critical/other existing credit,used car,7253.0,4<=X<7,none,car,35.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
<0,18.0,critical/other existing credit,furniture/equipment,1049.0,<1,none,life insurance,21.0,rent,1.0,skilled,1.0,yes,good
no checking,15.0,existing paid,education,4623.0,1<=X<4,none,life insurance,40.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,24.0,all paid,furniture/equipment,3349.0,<1,none,no known property,30.0,for free,1.0,skilled,2.0,yes,bad
<0,30.0,no credits/all paid,furniture/equipment,4583.0,1<=X<4,guarantor,real estate,32.0,own,2.0,skilled,1.0,yes,good
<0,36.0,delayed previously,business,2145.0,4<=X<7,none,car,24.0,own,2.0,skilled,1.0,yes,bad
no checking,30.0,critical/other existing credit,radio/tv,5954.0,4<=X<7,co applicant,car,38.0,own,1.0,skilled,1.0,yes,good
no checking,10.0,existing paid,new car,1287.0,>=7,co applicant,life insurance,45.0,own,1.0,unskilled resident,1.0,no,good
<0,9.0,critical/other existing credit,new car,2799.0,1<=X<4,none,real estate,36.0,rent,2.0,skilled,2.0,yes,good
no checking,15.0,critical/other existing credit,furniture/equipment,1520.0,>=7,none,life insurance,63.0,own,1.0,skilled,1.0,yes,good
<0,12.0,critical/other existing credit,radio/tv,385.0,4<=X<7,none,real estate,58.0,own,4.0,unskilled resident,1.0,yes,good
>=200,30.0,delayed previously,business,1908.0,>=7,none,real estate,66.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
0<=X<200,36.0,no credits/all paid,radio/tv,3804.0,1<=X<4,none,car,42.0,own,1.0,skilled,1.0,yes,bad
